ru_toxic_comment	ru_neutral_comment
ну бляяя, он еще и издевается. Сучка.((	Он ещё и издевается
ну бляяя, он еще и издевается. Сучка.((	Он ещё и издевается
ну бляяя, он еще и издевается. Сучка.((	Он ещё и издевается
У меня пмс и мне пиздец :(	У меня пмс и мне плохо
У меня пмс и мне пиздец :(	У меня пмс и мне плохо
Все кости ломит, мест блядь не хватило, спали в троем на малюсеньком диване!(	Все кости ломит, мест не хватило, спали в троем на малюсеньком диване
Все кости ломит, мест блядь не хватило, спали в троем на малюсеньком диване!(	Все кости ломит, потому что спали втроем на маленьком диване
Все кости ломит, мест блядь не хватило, спали в троем на малюсеньком диване!(	Все кости ломит, мест к сожалению не хватило, спали в троем на малюсеньком диване!(
Что ж за пиздец творится в моей жизни,ну хватит уже..Ну когда это закончится(((	Что за кошмар творится в моей жизни, ну хватит уже... Ну когда это закончится
Что ж за пиздец творится в моей жизни,ну хватит уже..Ну когда это закончится(((	Ну что же за беда твориться в моей жизни, ну хватит уже. Ну когда это закончится
Что ж за пиздец творится в моей жизни,ну хватит уже..Ну когда это закончится(((	Что ж за жуть творится в моей жизни,ну хватит уже..Ну когда это закончится(((
АААА!!! БЛИН, ЗАВИСТЬ ИПАННАЯ ((((999((((9 ПОЗДРАВЛЯЮ!!	АААА!!! БЛИН, ЗАВИСТЬ ((((999((((9 ПОЗДРАВЛЯЮ!!
АААА!!! БЛИН, ЗАВИСТЬ ИПАННАЯ ((((999((((9 ПОЗДРАВЛЯЮ!!	ааа!!!блин,зависть((((999((((9 поздравляю!!
когда же я всё-таки сдам эти знааааки ебанные((	когда ж я знаки эти сдам
когда же я всё-таки сдам эти знааааки ебанные((	Когда же я всё-таки сдам эти знаки
мне сейчас так хуево, как при расставании(	мне сейчас так плохо, как при расставании(
мне сейчас так хуево, как при расставании(	Мне сейчас так плохо, как при расставании
иди ты нахер а:( сесту ей подавай, а как же я????	Уходите:(сестру ей подавай,а как я????
Просто в задницу все, просто в задницу....!!!(((	Как все надоело, просто надоело…!!!
Я РАД, ШТА ТЫ МЕНЯ ПОНИМАЕШЬ! МОЙ ТЕЛЕФОН БЫЛ ЧАСТЬЮ МОЕЙ ЖИЗНИ, А ТИПЕРЬ ЕГО НИТ(((	Я рад, что ты меня понимаешь , мой телефон был частью моей жизни , а теперь его нет .
Я РАД, ШТА ТЫ МЕНЯ ПОНИМАЕШЬ! МОЙ ТЕЛЕФОН БЫЛ ЧАСТЬЮ МОЕЙ ЖИЗНИ, А ТИПЕРЬ ЕГО НИТ(((	Я рад, что ты меня понимаешь! Мой телефон был частью моей жизни, а теперь его нет
Что за ебанные чайники в моем тамблере,сукпздц(((((((((((((	Что за не умелые люди в моем тамблере
ИПАТЬ, СЕГОДНЯ ГОСТИ ПРИДУТ :С ОПЯТЬ НАДО ЖРАТЬ ГОТОВИТЬ(((	СЕГОДНЯ ГОСТИ ПРИДУТ :С ОПЯТЬ НАДО ЖРАТЬ ГОТОВИТЬ(((
ИПАТЬ, СЕГОДНЯ ГОСТИ ПРИДУТ :С ОПЯТЬ НАДО ЖРАТЬ ГОТОВИТЬ(((	Сегодня гости придут, опять надо кушать готовить
ИПАТЬ, СЕГОДНЯ ГОСТИ ПРИДУТ :С ОПЯТЬ НАДО ЖРАТЬ ГОТОВИТЬ(((	Сегодня гости придут :( опять надо есть готовить(((
ска пздц((( родоки напрягаю с химией, ебоный пздц((9(	Меня родители заставляют учить химию
ска пздц((( родоки напрягаю с химией, ебоный пздц((9(	Родители напрягают с химией, надоели((
СОНЯЯЯЯЯ НАЙДИ МНЕ ВАРЕЖКИ У НЕГО мне без них хуево пиздец :((((((	Соняяяяя найди мне варежки у него мне без них плохо
СОНЯЯЯЯЯ НАЙДИ МНЕ ВАРЕЖКИ У НЕГО мне без них хуево пиздец :((((((	Соня, найди мне варежки у него, мне без них плохо
Тупо на повторе второй деньаааааа, сукана сколько же она охуенная (  My Chemical Romance – Im Not Okay	Тупо на повторе второй день, какая же она классная ( My Chemical Romance-I’m not okay
На самом деле нет, просто так заебло, когда блять ладно похуй :(	На самом деле нет, просто так надоело
На самом деле нет, просто так заебло, когда блять ладно похуй :(	На самом деле нет, просто так достало, когда.. ладно, все равно :(
как всегда вовремя....простуда, сука...=(	как всегда вовремя... простуда...=(
как всегда вовремя....простуда, сука...=(	Как всегда вовремя...простуда...=(
Бля пиздец я устал,такое ощущение шо на треше 5 часовой был (((	Я устал, такое ощущение что на 5 часовом треше был
Капец, мама меня рипнет. Блина, мне его так жалко :ССССС Бедняжка моя, прости, что я такая криворукая уебанка((((	Мама меня отругает. Блин,мне его так жалко: ССССС Бедняжка моя,прости, что я такая криворукая
МИНЯ ЖИ ТОЖИ ,БЛИТЬ, ОБИЖАЮТ :(	Меня тоже обижают
МИНЯ ЖИ ТОЖИ ,БЛИТЬ, ОБИЖАЮТ :(	Меня же тоже блин обижают
МИНЯ ЖИ ТОЖИ ,БЛИТЬ, ОБИЖАЮТ :(	Меня же тоже обижают
ПЕЧАЛЬ ПЕЧАЛЬНАЯ! Проводной есть, а хуй возьмешь!((((	Печальная печаль. Проводной есть, а не возьмёшь
ПЕЧАЛЬ ПЕЧАЛЬНАЯ! Проводной есть, а хуй возьмешь!((((	печаль печальная! Проводной есть,но не взять его
ПЕЧАЛЬ ПЕЧАЛЬНАЯ! Проводной есть, а хуй возьмешь!((((	Печаль печальная. Проводной есть , но не возьмёшь.
Ну хоть бы одна падла пароль с Wi-Fi убрала. Жмоты((((	Ну хоть бы кто-то пароль с Wi-Fi убрал
Плачу, потому что не могу расчесать ебучую копну на голове...Вчера они били кудрями(((	Плачу, потому что не могу расчесать копну на голове. Вчера они были кудрями
Плачу, потому что не могу расчесать ебучую копну на голове...Вчера они били кудрями(((	Плачу, потому что не могу расчесать копну на голове...Вчера они били кудрями(((
Плачу, потому что не могу расчесать ебучую копну на голове...Вчера они били кудрями(((	Плачу, потому что не могу расчесать копну волос на голове...Вчера они были кудрями(((
Бля, что творится в Волгограде, это просто пиздец((	Что творится в Волгограде, это просто ужас
его уже не вылечить. совсем ебанулся((	Его уже не вылечить...
Бля. Родители меня выгоняют из дома, говорят иди к своим друзьям. Сукааааааааа, но я не могу(((((((	Родители меня выгоняют из дома ,говорят иди к своим друзьям, но я не могу
Бля. Родители меня выгоняют из дома, говорят иди к своим друзьям. Сукааааааааа, но я не могу(((((((	Родители меня выгоняют из дома, говорят, иди к своим друзьям, но я не могу...
ДА ЧТО ЗА ТЫ ЧЕЛОВЕК ТО ТАКОЙ,ИДИ НАХРЕН!:(((	ДА ЧТО ЗА ТЫ ЧЕЛОВЕК ТО ТАКОЙ
ДА ЧТО ЗА ТЫ ЧЕЛОВЕК ТО ТАКОЙ,ИДИ НАХРЕН!:(((	Да что ты за человек то такой?
ДА ЧТО ЗА ТЫ ЧЕЛОВЕК ТО ТАКОЙ,ИДИ НАХРЕН!:(((	ДА ЧТО ЗА ТЫ ЧЕЛОВЕК ТО ТАКОЙ,ИДИ ОТ СЮДА!:(((
Ебать мне пизда;( Антон ты где?	У меня неприятности. Антон, ты где?
Ебать мне пизда;( Антон ты где?	Мне конец;( Антон ты где?
Бля, не хочу завтра на треню, бля бля, я еще больна, не надо, я не хочу, бля, бля:(((	Блин, не хочу завтра на тренировку, я ещё больна, не надо, я не хочу, блин
Бля, не хочу завтра на треню, бля бля, я еще больна, не надо, я не хочу, бля, бля:(((	Не хочу завтра на треню, я ещё больна, не надо, я не хочу
что?! Я ТАКОГО НЕ ГОВОРИЛ, НЕ ПИЗДИ	что?! Я ТАКОГО НЕ ГОВОРИЛ.
что?! Я ТАКОГО НЕ ГОВОРИЛ, НЕ ПИЗДИ	Что?! Я такого не говорил, не ври!
что?! Я ТАКОГО НЕ ГОВОРИЛ, НЕ ПИЗДИ	Что?!я такого не говорил,не ври
ты заебал из симса вылетать, сучара((((((((	Ты надоел из Симса вылетать
ТУМАЮ МИНЯ СЕГОДНЯ НЕ ПРЕТ ((( ПОЖАЛУЙ ВСИО	ДУМАЮ С МЕНЯ СЕГОДНЯ ХВАТИТ  ((( ПОЖАЛУЙ ВСЕ
Хочу к своим пизданутым подружкам!!! Скучаю((((	Хочу к своим подружкам! Скучаю
ааа:( Такие больнючие уколы! Нахер.. ещё 7 уколов. я ебала.	Такие болезненные уколы! К черту... Еще 7 уколов, я устала.
ааа:( Такие больнючие уколы! Нахер.. ещё 7 уколов. я ебала.	Такие болючие уколы. Ещё 7 уколов
как и я Весы- мы хуевы зануды(((	Как и я весы - мы зануды(
как и я Весы- мы хуевы зануды(((	Как и я весы мы зануды
Братве нехуй делать :(	Братве нечего делать
Братве нехуй делать :(	Братьям нечего делать.
СУКА,СУКА,СУКА,как же обидно,бляяяя :(((((((((((((((((((((как всегда все самое ахуенное я проебываю,дура.	как же обидно:(((((((((((((((((((((как всегда все самое лучшее я пропускаю.
СУКА,СУКА,СУКА,как же обидно,бляяяя :(((((((((((((((((((((как всегда все самое ахуенное я проебываю,дура.	Как же обидно, блин: как всегда самое замечательное я теряю, глупая
ВСЕ УЕХАЛИ А Я ДОМА КАК ДИБИЛ. ДАЖЕ ПОГУЛЯТЬ НЕ С КИМ: ((((((((((	ВСЕ УЕХАЛИ А Я ДОМА ОДИН. ДАЖЕ ПОГУЛЯТЬ НЕ С КИМ: ((((((((((
ВСЕ УЕХАЛИ А Я ДОМА КАК ДИБИЛ. ДАЖЕ ПОГУЛЯТЬ НЕ С КИМ: ((((((((((	Все уехали, а я дома. Даже погулять не с кем:((((
Не спать перед экзаменом, пздц как хуева:(	Не спать перед экзаменом, это тяжело
Не спать перед экзаменом, пздц как хуева:(	Не спать перед экзаменом, не передать как плохо:(
Не спать перед экзаменом, пздц как хуева:(	Не спать перед экзаменом, очень плохо (
перезагорал, ебало все облезло( и все(	Перезагорал, лицо всё облезло( и все(
тебе похер должно быть , ты в лагерь едешь(	Тебе все равно должно быть, ты в лагерь едешь
тебе похер должно быть , ты в лагерь едешь(	Тебк нормально должно быть, ты в лагерь едешь
Вот митрошин вспомнился сразу же просто не трушный( логика, ты как я хочу нг о боже, детка, ты жопа, ая. —	Вот митрошин вспомнился сразу же просто не трушный логика ты как я хочу нг о боже детка, ты плохая, а я
НУ НЕ НАДААА!!:(((( НУ ЧЕ СЛУЧИЛОСЬ ТО??	Не надо! Что произошло?
СУКА!! у меня даже трусов нет!!!((( да как так-то а,за что именно я?	У меня даже трусов нет! Да как так-то, за что именно я?
СУКА!! у меня даже трусов нет!!!((( да как так-то а,за что именно я?	у меня даже трусов нет!!!((( да как так-то а,за что именно я?
Бля ,он предложил встречаться !а я отказалась!вот дура(	Он предложил встречаться, а я отказалась
КТО ПРОСРАЛ 3000 ТВИТ?Я ПРОСРАЛА...(	Кто упустил 3000 твит. Я упустила.
КТО ПРОСРАЛ 3000 ТВИТ?Я ПРОСРАЛА...(	Кто потерял 3000 твит? Я потеряла. (
НАПРОТИВ МОИХ ОКОН ВЫРУБАЮТ ЛЕС((( ТЕПЕРЬ НЕ ТАК ЧАСТО СМОТРЮ В ОКНО, КАК РАНЬШЕ	Напротив моих окон вырубают лес. Теперь не так часто смотрю в окно, как раньше
Да блять, не смищно, я так и обидица могу((9(	Да не смешно,я так и обидеться могу
ОППАЧКИ ЗАРЯДКА ПОЧТИ СЕЛА. ТАЕ ЧТО Я ПО ЛЮБОМУ УХОЖУ. ВСЕМ ЖИ ПОХУЙ АЗХАХАХ...:(	Зарядка почти села. Так что я по-любому ухожу. Всем же без разницы
ОППАЧКИ ЗАРЯДКА ПОЧТИ СЕЛА. ТАЕ ЧТО Я ПО ЛЮБОМУ УХОЖУ. ВСЕМ ЖИ ПОХУЙ АЗХАХАХ...:(	Зарядка почти села. Так что я по-любому ухожу. Всем ведь все равно.
блин чуть бы не спалились, это был пиздец,когда  подъехала машина((	чуть не спалились когда машина подъехала
блин чуть бы не спалились, это был пиздец,когда  подъехала машина((	Чуть бы не спалились, когда подъехала машина((
Пиздец, заболела, похер выйду завтра, я не собираюсь дома сидеть!:-(	Кошмар, заболела, всё равно выйду завтра, я не собираюсь дома сидеть! :-(
Пиздец, заболела, похер выйду завтра, я не собираюсь дома сидеть!:-(	заболела но все равно выйду завтра я не буду дома сидеть
Пиздец, заболела, похер выйду завтра, я не собираюсь дома сидеть!:-(	Заболела, выйду завтра, я не собираюсь дома сидеть
Ну блять как???Я так ебнулась на катке,что аж порвала штаны и пошла кровь,все штаны испачкала(((	Ну как???? Я так упала на катке, что аж порывала штаны и пошла кровь, все штаны испачкала (((
блять спать хочу как сучка, но тамблер меня не отпускает (	Сильно спать хочу но тамблер не отпускает
блять спать хочу как сучка, но тамблер меня не отпускает (	Спать хочу, но тамблер меня не отпускает (
мозги выебут потом (	Мозги вынесут потом
я пиздец хочу поругаться((( мне только повод дай,я злая пиздец.	я очень хочу поругаться((( мне только повод дай,я злая очень.
я пиздец хочу поругаться((( мне только повод дай,я злая пиздец.	Поругаться хочется, только повод дай, очень злая
ну вот нахуй она ко мне опять добавилась(	Зачем она ко мне опять добавилась (
ну вот нахуй она ко мне опять добавилась(	Зачем она ко мне снова добавилась?
ОНА СЕЙЧАС СПИТ СЛАДКО* А Я ТУТ ХЕРНЕЙ СТРАДАЮ! БЕЗ НЕЕ ЧЕТ ВООБЩЕ НЕ ТО(	Она сейчас спит сладко а я здесь ерундой занимаюсь. Без неё что-то вообще не то
ОНА СЕЙЧАС СПИТ СЛАДКО* А Я ТУТ ХЕРНЕЙ СТРАДАЮ! БЕЗ НЕЕ ЧЕТ ВООБЩЕ НЕ ТО(	Она спит сладко, а я ерундой страдаю без неё что то не то
разделывала сегодня куриную тушу, ебать как это было неприятно и омерзительно :( и курочку жалко	Разделывала сегодня куриную тушу,как это было неприятно и омерзительно:( и курочку жалко
разделывала сегодня куриную тушу, ебать как это было неприятно и омерзительно :( и курочку жалко	Разделывала сегодня куриную тушу, как это было неприятно и омерзительно. И курочку жалко
Пора паниковать. МОЙ ПЕРЕДОЗ РАДОСТНОГО ПОХУИЗМА КОНЧАЕТСЯ((	Пора паниковать. Мой оптимизм кончается (((
Андрей вообще засранец,не дал облокотится на него((	Андрей плохой, не дал облокотится об него.
Андрей вообще засранец,не дал облокотится на него((	Андрей вообще негодяй, не дал облокотиться на него
Андрей вообще засранец,не дал облокотится на него((	Андрей вообще плохой, не дал на него облокотиться
сука, почему мы просто не можем взять и поехать (((((999 поч ((	почему мы просто не можем взять и поехать (((((999 поч ((
сука, почему мы просто не можем взять и поехать (((((999 поч ((	Почему мы просто не можем взять и поехать
ТЫ ДАЖЕ НЕ ЗНАЕШЬ АМАНДУ, ЛОХ	ТЫ ДАЖЕ НЕ ЗНАЕШЬ АМАНДУ
ТЫ ДАЖЕ НЕ ЗНАЕШЬ АМАНДУ, ЛОХ	ТЫ ДАЖЕ НЕ ЗНАЕШЬ АМАНДУ
я сделала правильный выборхотя пиздец,как больнопиздец как больно:(	Я сделала правильный выбор. Хотя, как больно, как больно
я сделала правильный выборхотя пиздец,как больнопиздец как больно:(	Я сделала правильный , но болезненный выбор
я сделала правильный выборхотя пиздец,как больнопиздец как больно:(	я сделала правильный выборхотя очень больно прям очень больно:(
Дота ,дота заебли вы  игнорить меня из-за нее :(	Дота ,дота надоели вы  игнорить меня из-за нее :(
ты мне вк не отвечаешь паскудатвармрас ((	Ты мне вк не отвечаешь
ты мне вк не отвечаешь паскудатвармрас ((	Ты мне в вк не отвечаешь
ты мне вк не отвечаешь паскудатвармрас ((	ты мне вк не отвечаешь
Какая ложка меня прокляла.што мне так хуево(((((	Кто меня проклял , что мне так плохо.
Какая ложка меня прокляла.што мне так хуево(((((	Какая ложка меня прокляла, что мне так плохо(
Какая ложка меня прокляла.што мне так хуево(((((	Какая ложка меня прокляла,что мне так плохо
Зашла в группу шерлока, вышла, как опплеванная :( ГОМОФОБЫ ПРОКЛЯТЫЕ!!!	Зашла в группу шерлока, вышла, как опплеванная
Зашла в группу шерлока, вышла, как опплеванная :( ГОМОФОБЫ ПРОКЛЯТЫЕ!!!	Зашла в группу шерлока, вышла обиженная из-за гомофобов
Я КРИЧУПОЮ СМОТРЮ И ПИШУ В ТВИТТЕР Я КРАСАВА БЛИАТЬРАЗРЫВАЮСЬЧЕТ АЪАХХАХАХ((((((999	я кричу и пою в твиттер я красавчик
Я КРИЧУПОЮ СМОТРЮ И ПИШУ В ТВИТТЕР Я КРАСАВА БЛИАТЬРАЗРЫВАЮСЬЧЕТ АЪАХХАХАХ((((((999	Я кричу, пою, смотрю и пишу в Твиттер я красава разрываюсь что-то ахахаха
я весь грязный как свинья((машину блять подтолкнул называется вчера ахахаххапохуй ваще новый год все таки	Я весь грязный потому что подтолкнул машину
МНЕ ЕЩЕ ЗАВТРА НА ИНЖЕНЕРКУ ЕБАШИТЬ (((	Мне еще завтра на инженерку идти(((
МНЕ ЕЩЕ ЗАВТРА НА ИНЖЕНЕРКУ ЕБАШИТЬ (((	Мне ещё завтра на инженерку идти (((
Ну вот аж пиздецщас расплачусь:(	Я сейчас расплачусь
Ну вот аж пиздецщас расплачусь:(	Ну вот сейчас расплачусь:
Ну вот аж пиздецщас расплачусь:(	Ну вот, сейчас расплачусь
Бля как можно было потерять ахуеного “ Британского “ котика:(	как можно было потерять великолепного “ Британского “ котика:(
Бля как можно было потерять ахуеного “ Британского “ котика:(	как можно было потерять хорошего “ Британского “ котика:(
Бля как можно было потерять ахуеного “ Британского “ котика:(	Как можно потерять британского котика?
И ТВОЙ МУЖ С:НЕ ЗАБЫВАЙ ОБ ЭТОМ С:	И твой муж , не забывай об этом.
как жить то блять дальше???? как жить то ..блять(((	как жить то дальше???? как жить то ..(((
как жить то блять дальше???? как жить то ..блять(((	как жить то дальше???? как жить то .(((
как жить то блять дальше???? как жить то ..блять(((	Как жить-то дальше? Как жить-то
ой блять заблокировала пиздец теперь умру нахуй((	Ой заблокировали,теперь умру .
ой блять заблокировала пиздец теперь умру нахуй((	Заблокировала,теперь умру((
Скажите, что я лох. КАААК Я МОГ ОСТАВИТЬ НАУШНИКИ:(	Скажите, что я неудачник. Как я мог оставить наушники?
Скажите, что я лох. КАААК Я МОГ ОСТАВИТЬ НАУШНИКИ:(	Скажите, что я неудачник. КАААК Я МОГ ОСТАВИТЬ НАУШНИКИ:(
Скажите, что я лох. КАААК Я МОГ ОСТАВИТЬ НАУШНИКИ:(	Как я мог оставить наушники?
Моя хуета сделанная утром от нечего делать:((	Вот такая ерунда получилась утром от нечего делать:((
Я вполне нормальная. божемой Венцек,че за хуйбалу ты тритопор(((((. — Не пойду. не нравится. Ве а де. —	Я вполне нормальная. божемой Венцек,че за ерунду ты говорил(((((. — Не пойду. не нравится. Ве а де. —
Я ПЛОХАЯ ДЕВОЧКА СК(	Я плохая девочка
бантаны вы где такую клевенькую одежду береты суки (((((((	Друзья где вы такою одежду купили
бантаны вы где такую клевенькую одежду береты суки (((((((	Братаны, вы где такую клёвую одежду берете?
бантаны вы где такую клевенькую одежду береты суки (((((((	Вы где такую интересную одежду берете?
что?( но ведь заебывать тебя было одной из моих радостей жизни тт	что?( но ведь достпвать тебя было одной из моих радостей жизни тт
что?( но ведь заебывать тебя было одной из моих радостей жизни тт	что?( но ведь надоедать тебе было одной из моих радостей жизни тт
что?( но ведь заебывать тебя было одной из моих радостей жизни тт	что?( но ведь доставать тебя было одной из моихрадостей жизни
ты же говорила что не куришь? — прости меня,но я пиздела(	ты же говорила что не куришь? — прости меня,но я врала(
а то хуя мой биас-лист испортил((((	Ты зачем мой биас-лист испортил
Сижу у масика . Он спит . Мне делать нехуй (Пора будить эту скотину *	Сижу у масика. Он спит. Мне делать нечего ( пора его будить
Сижу у масика . Он спит . Мне делать нехуй (Пора будить эту скотину *	Сижу у масика. Он спит. Мне делать нечего. Пора его будить
БЛИН, РОДНОЙ МОЙ, НЕ РАССТРАИВАЙСЯ СИЛЬНО(( А ТО Я ТОЖИ РАССТРОЮСЬ(( МНИ ТАК ЖАЛЬ ТИПЯ(	НУ, РОДНОЙ МОЙ, НЕ РАССТРАИВАЙСЯ СИЛЬНО(( А ТО Я ТОЖИ РАССТРОЮСЬ(( МНИ ТАК ЖАЛЬ ТИПЯ(
блядь я проиграл и не так понял (	Я проиграл и не так понял
блядь я проиграл и не так понял (	Я проиграл и не так понял (
блядь я проиграл и не так понял (	Очень жаль,я проиграл и не так понял
Бдя, ангина это ебаный АД НАХУЙ!! и никто не пожалеет панкушку(	ангина это ад и никто не пожалеет
Бдя, ангина это ебаный АД НАХУЙ!! и никто не пожалеет панкушку(	Да, ангина протекает очень тяжело! И никто не пожалеет девушку-панку(
блять да что это за хуйня...че делааать ааа(	Да что это, что делать ааа
БЛ А Я НЕ УВИЖУ ЭТО РЕКЛАМУ,Т.К У МЕНЯ НЕТ РУССКИХ КАНАЛОВ:(У МЕНЯ ЭТОТ ШАМПУНЬ КАКАЕ ТО ТЕТКА РЕКЛАМИРУЕТ	Я не увижу эту рекламу т.к у меня нет русских каналов у меня этот шампунь какая то женщина рекламирует
БЛ А Я НЕ УВИЖУ ЭТО РЕКЛАМУ,Т.К У МЕНЯ НЕТ РУССКИХ КАНАЛОВ:(У МЕНЯ ЭТОТ ШАМПУНЬ КАКАЕ ТО ТЕТКА РЕКЛАМИРУЕТ	А Я НЕ УВИЖУ ЭТО РЕКЛАМУ,Т.К У МЕНЯ НЕТ РУССКИХ КАНАЛОВ:(У МЕНЯ ЭТОТ ШАМПУНЬ КАКАЕ ТО ТЕТКА РЕКЛАМИРУЕТ
мне самое хуевое досталось - чистить картошку :( ыах, ненавижу это дело	Мне самое нудное досталось, чистить картошку,не люблю я это
Ох. Как оказалось, Луол Денг был ОБМЕНЯН НА БАЙНУМА. ЛУОЛ ДЕНГ ЙОПТВАЮМАТЬ. ОХЕРЕННЫЙ ПРАЗДНИК, ЛУЧШЕ БЫ НЕ ПРОСЫПАЛСЯ ВООБЩЕ(((((((((((((((	Как оказалось Лоул Денг был обменян на Байнума. Плохой праздник, лучше бы не просыпался вообще
а хотя нет,я же скотинабесчувственнаябля :(	А хотя нет, я же бесчувственная...
Заебал честное слово всё запрещать,надоело( Свободы мне,свободы!!!	ты мне все запрещаешь свободы мне свободы
ЕПТЬ,ТЫ МОЙ 700 ФАЛЛОВЕР о_ОА Я НЕ ДОПЕР.СЧАСТЬЯ ТИПЕ,ДИРЖИ ДЖИ С:	ТЫ МОЙ 700 ФАЛЛОВЕР о_ОА Я НЕ ДОПЕР.СЧАСТЬЯ ТИПЕ,ДИРЖИ ДЖИ С:
ебааать,все ебло в пупырышках (( спасибо мандаринам,бля	Ужас, все лицо в сыпи, спасибо мандаринам((
ебааать,все ебло в пупырышках (( спасибо мандаринам,бля	Ужас, всё лицо в аллергии, спасибо мандаринам
Так по другу соскучилаась пипеец.сраная армия, всех забирает(	Так по другу соскучилась. Армия всех забирает(
Так по другу соскучилаась пипеец.сраная армия, всех забирает(	Так по другу соскучилаась пипеец. армия, всех забирает(
Так по другу соскучилаась пипеец.сраная армия, всех забирает(	Так по другу соскучилаась. армия, всех забирает(
бич наушник один сломался :( мать вашу, бляя как лох с одним, блин  поеду за новыми .....	Наушник один сломался поеду за новым
"я тебе очень благодарна, но сука, как я без компа жить бууудуу :""("	Я тебе очень благодарна, но мне очень нужен компьютер
"я тебе очень благодарна, но сука, как я без компа жить бууудуу :""("	Я тебе очень благодарна, но как я без компа жить буду?
Бля.. почему меня выносит с эго рожы?D: :|	Почему мне так смешно с этого лица
Бля.. почему меня выносит с эго рожы?D: :|	Почему мне смешно, от выражения его лица
ну ладно, я ёбнутая, я согласна абсолютно, но ведь я же просто хотела выговориться(((	Ну ладно, я ненормальная, я согласна абсолютно, но ведь я же хотела выговориться
С НАСТУПАЮЩИМ ДРУЗЬЯ, ВСЕМ СПАСИБО ЗА ПОЗДРАВЛЕНИЯ,ВСЕХ ЛЮБЛЮ И ПРОСТИТЕ МЕНЯ ЗА МЕНЯ В 2013... :(	С наступающим друзья, всем спасибо за поздравления, всех люблю и простите меня за меня в 2013
блять, пиздец карочия щас случайно при папе и лене матом ругнулся сука :-((((((	карочия щас случайно при папе и лене матом ругнулся
блять, пиздец карочия щас случайно при папе и лене матом ругнулся сука :-((((((	Сейчас случайно при папе и Лене матом ругнулся
я соскучилась по нему( заебалась выебываться, что слушаю ЭКСПЕРЕМЕНТАЛЬНУЮ ЭЛЕКТРОНИКУ	я соскучилась по нему( надоело хвастаться, что слушаю ЭКСПЕРЕМЕНТАЛЬНУЮ ЭЛЕКТРОНИКУ
я соскучилась по нему( заебалась выебываться, что слушаю ЭКСПЕРЕМЕНТАЛЬНУЮ ЭЛЕКТРОНИКУ	Я соскучилась по нему( надоело выпендриваться, что слушаю экспериментальную электронику
я соскучилась по нему( заебалась выебываться, что слушаю ЭКСПЕРЕМЕНТАЛЬНУЮ ЭЛЕКТРОНИКУ	я соскучилась по нему( устала выпендриваться, что слушаю ЭКСПЕРЕМЕНТАЛЬНУЮ ЭЛЕКТРОНИКУ
САМОЕ ОБИДНОЕ ШО ВСИ СПИЗДЕЛИ МОЮ ФОТКУ КОТОРУЮ Я НАШЛА :(	Самое обидное, что все украли мою фотку, которую я нашла
САМОЕ ОБИДНОЕ ШО ВСИ СПИЗДЕЛИ МОЮ ФОТКУ КОТОРУЮ Я НАШЛА :(	Самое обидное что все украли мою фотку которую я нашла
Пиздец ,чуть кота не убили ,пиздец ......бедный ганник ;((;(	Ужас, чуть кота не убили, ужас.... Бедный ганник
пацан ахуевшийопять лямыч всех заткнул:(	опять лямыч всех заткнул:(
ОЧЕНЬ БЛЯТЬ СМЕШНО!!!!!!!!!!!((99(((((	Очень смешно
ОЧЕНЬ БЛЯТЬ СМЕШНО!!!!!!!!!!!((99(((((	Очень смешно
ОЧЕНЬ БЛЯТЬ СМЕШНО!!!!!!!!!!!((99(((((	ОЧЕНЬ СМЕШНО!!!!!!!!!!!((99(((((
Еще не один мудак не доводил меня до такой степени, что я корвалолом отпаивалась...((	еще не один не доводил меня до такой степени,что я корвалолом отпаивалась...(((
Еще не один мудак не доводил меня до такой степени, что я корвалолом отпаивалась...((	Не один человек ещо не разу не доводил меня до такой степени, что я корвалолом отпаивалась..
ЧОТ МЕНЯ БОМБАНУЛО АХАХА ИВАН БЛЯ ПРОСТИ (((	Чот меня бомбануло. Иван прости
ЧОТ МЕНЯ БОМБАНУЛО АХАХА ИВАН БЛЯ ПРОСТИ (((	ЧОТ МЕНЯ БОМБАНУЛО АХАХА ИВАН ПРОСТИ (((
Ты конечно мальчик красивый,но немного шлюховат(	Ты конечно мальчик красивый,но немного гулящий(
КТО ПРИДУМАЛ ЧАСЫ,КОТОРЫЕ БЬЮТ СТОЛЬКО РАЗ,СКОЛЬКО СЕЙЧАС ЧАСОВ?Я ССУСЬ,КОГДА СЛЫШУ ИХ!мне придется провести ночь наедине с ними:(прощай сон	Кто придумал часы, которые бьют столько раз, сколько сейчас часов? Я пугаюсь, когда слышу их! Мне придется провести ночь наедине с ними, прощай сон
У МЕНЯ УЖЕ ЕСТЬ МУЖ ИЗ АРХАНГЕЛЬСКА( НО ДА ПОХ. ТЫ БУДЕШЬ ВТОРЫМ МУХАХАХАХАХА	У меня уже есть муж из архангельсаа, всё равно, будешь вторым
У МЕНЯ УЖЕ ЕСТЬ МУЖ ИЗ АРХАНГЕЛЬСКА( НО ДА ПОХ. ТЫ БУДЕШЬ ВТОРЫМ МУХАХАХАХАХА	У меня уже есть муж из Архангельска, но все равно, ты будешь вторым, ахаха
ну как-то так, только я в итоге еще и долбоеб. : (	Ну как-то так, только я в итоге еще и глупый.
Какая же я ленивая жопа(( надо завязывать!!!!	Какая же я ленивая((надо завязывать!!!!
